source,storefront,platform,title,price_usd,original_price_usd,discount_pct,product_url,release_date,review_score,genres,tags
gog,GOG,PC,Dead Cells: DLC Bundle,7.19,11.99,40.0,https://www.gog.com/en/game/dead_cells_dlc_bundle,2022-01-06,,"Action, Adventure, Roguelike",
gog,GOG,PC,Dead Cells: Fatal Falls,2.49,4.99,50.0,https://www.gog.com/en/game/dead_cells_fatal_falls,2021-01-26,,"Action, Adventure, Roguelike",
gog,GOG,PC,Dead Cells: Medley of Pain Bundle,23.99,39.99,40.0,https://www.gog.com/en/game/dead_cells_medley_of_pain_bundle,2023-03-06,,"Action, Adventure, Roguelike",
gog,GOG,PC,Dead Cells: Return to Castlevania,6.99,9.99,30.0,https://www.gog.com/en/game/dead_cells_return_to_castlevania,2023-03-06,,"Action, Adventure, Roguelike",
gog,GOG,PC,Dead Cells: Return to Castlevania Bundle,19.18,31.98,40.0,https://www.gog.com/en/game/dead_cells_return_to_castlevania_bundle,2023-03-06,,"Action, Adventure, Roguelike",
gog,GOG,PC,Dead Cells: Rise of the Giant,0.0,0.0,0.0,https://www.gog.com/en/game/dead_cells_rise_of_the_giant,2019-03-28,49.0,"Action, Adventure, Roguelike",
gog,GOG,PC,Dead Cells: The Bad Seed,2.49,4.99,50.0,https://www.gog.com/en/game/dead_cells_the_bad_seed,2020-02-11,39.0,"Action, Adventure, Roguelike",
gog,GOG,PC,Dead Cells: The Queen and the Sea,2.49,4.99,50.0,https://www.gog.com/en/game/dead_cells_the_queen_and_the_sea,2022-01-06,,"Action, Adventure, Roguelike",
gog,GOG,PC,Dead In Bermuda,14.99,14.99,0.0,https://www.gog.com/en/game/dead_in_bermuda,2015-08-27,,"Strategy, Turn-based",
gog,GOG,PC,Dead In Vinland,19.99,19.99,0.0,https://www.gog.com/en/game/dead_in_vinland,2018-04-12,40.0,"Adventure, Simulation, Survival",
gog,GOG,PC,Dead In Vinland - Endless Mode: Battle Of The Heodenings,4.99,4.99,0.0,https://www.gog.com/en/game/dead_in_vinland_endless_mode_battle_of_the_heodenings,2019-01-24,34.0,"Adventure, Simulation, Survival",
