store,title,platform,price,release_date
epic_games_store,Mafia II: Definitive Edition,PC,20.39,2020-09-25
epic_games_store,Unicorns on Unicycles,PC,3.71,2021-10-20
epic_games_store,Expeditions: Viking,PC,8.75,2021-10-13
epic_games_store,Assassin's Creed® III: Remastered,PC,23.99,2019-03-29
epic_games_store,Solitairica,PC,2.87,2020-12-29
epic_games_store,Creature in the Well,PC,5.51,2021-03-25
epic_games_store,Shady Part of Me,PC,7.19,2020-12-11
epic_games_store,Blair Witch,PC,8.48,2020-10-29
epic_games_store,The Fall Part 2: Unbound,PC,4.79,2021-03-15
epic_games_store,Cartel Tycoon,PC,7.07,2021-03-18
epic_games_store,DEMON'S TILT,PC,6.35,2021-05-10
epic_games_store,The Uncertain: Last Quiet Day,PC,2.87,2021-04-29
epic_games_store,Genesis Alpha One,PC,8.04,2020-03-27
epic_games_store,Stubbs the Zombie in Rebel Without a Pulse,PC,5.63,2021-10-14
epic_games_store,Bridge Constructor: The Walking Dead,PC,4.19,2020-11-19
epic_games_store,The Spectrum Retreat,PC,3.71,2021-07-01
epic_games_store,Riders Republic,PC,35.99,2021-10-28
epic_games_store,Tom Clancy's Ghost Recon Wildlands,PC,29.99,2018-04-10
epic_games_store,Timelie - Game of the Year Edition,PC,5.15,2021-05-28
epic_games_store,Pine,PC,6.83,2021-05-06
epic_games_store,Omen Of Sorrow,PC,7.14,2019-06-07
epic_games_store,The Red Lantern,PC,7.07,2020-10-22
epic_games_store,8Doors: Arum's Afterlife Adventure,PC,5.63,2021-08-19
epic_games_store,Ironcast,PC,4.19,2021-07-08
epic_games_store,Sonic Colors: Ultimate,PC,35.99,2021-09-07
epic_games_store,Arise: A Simple Story,PC,7.14,2019-12-03
epic_games_store,NEO: The World Ends with You,PC,35.99,2021-09-28
epic_games_store,Dark Future: Blood Red States,PC,7.07,2021-07-20
epic_games_store,Watch Dogs 2,PC,41.99,2016-11-15
epic_games_store,Conarium,PC,6.25,2017-06-06
epic_games_store,A Knights Quest,PC,8.94,2019-10-09
epic_games_store,The Jackbox Party Pack 8,PC,8.51,2021-10-14
epic_games_store,Ruin Raiders,PC,5.63,2021-10-14
epic_games_store,The Legend of Tianding,PC,6.35,2021-11-02
epic_games_store,Tales of the Neon Sea,PC,4.79,2021-04-01
epic_games_store,Relicta,PC,8.04,2020-08-24
epic_games_store,God's Trigger,PC,5.74,2020-08-20
epic_games_store,Chronos: Before the Ashes,PC,13.67,2020-12-01
epic_games_store,Q.U.B.E. 2,PC,6.25,2018-03-18
epic_games_store,Song of Farca,PC,5.63,2021-07-22
epic_games_store,They Always Run,PC,4.19,2021-10-20
epic_games_store,The Long Dark,PC,9.95,2020-12-19
epic_games_store,Dollhouse,PC,6.35,2021-10-29
epic_games_store,Deep Sky Derelicts,PC,6.35,2021-07-20
epic_games_store,Suzerain,PC,4.19,2021-05-20
epic_games_store,Operation:Tango,PC,13.27,2021-08-24
epic_games_store,Doctor Who: The Lonely Assassins,PC,1.67,2021-06-18
epic_games_store,Knight Squad 2,PC,4.19,2021-04-14
epic_games_store,Surgeon Simulator 2,PC,5.63,2020-08-27
epic_games_store,Close To The Sun,PC,17.88,2019-05-02
epic_games_store,Demon Turf,PC,6.83,2021-11-04
epic_games_store,Figment,PC,6.25,2020-03-26
epic_games_store,Bonfire Peaks,PC,5.63,2021-09-30
